,game_id,plyr_id,name,fntsy_pts
191,290920002,10195,fred-jackson,16.8
192,290927002,10195,fred-jackson,9.7
193,291004015,10195,fred-jackson,6.8
194,291011002,10195,fred-jackson,4.7
195,291018020,10195,fred-jackson,5.2
196,291025029,10195,fred-jackson,0.2
197,291101002,10195,fred-jackson,2.8
198,291115010,10195,fred-jackson,12.18
199,291122030,10195,fred-jackson,5.5
200,291129002,10195,fred-jackson,23.6
201,291203002,10195,fred-jackson,5.5
202,291213012,10195,fred-jackson,12.2
203,291220002,10195,fred-jackson,11.2
204,291227001,10195,fred-jackson,3.3
205,290913026,10238,jon-ryan,0.0
206,290920025,10238,jon-ryan,0.0
207,290927026,10238,jon-ryan,0.0
208,291004011,10238,jon-ryan,0.0
209,291011026,10238,jon-ryan,0.0
210,291018026,10238,jon-ryan,1.68
211,291101006,10238,jon-ryan,0.0
212,291108026,10238,jon-ryan,0.0
213,291115022,10238,jon-ryan,0.0
214,291122016,10238,jon-ryan,0.0
215,291129014,10238,jon-ryan,0.0
216,291206026,10238,jon-ryan,0.0
217,291213034,10238,jon-ryan,0.0
218,291220026,10238,jon-ryan,0.0
219,291227009,10238,jon-ryan,0.0
220,290913005,10246,naufahu-tahi,0.2
221,290920008,10246,naufahu-tahi,0.1
222,291005016,10246,naufahu-tahi,0.8
223,291011014,10246,naufahu-tahi,3.2
224,291018016,10246,naufahu-tahi,0.0
225,291025023,10246,naufahu-tahi,1.3
226,291122016,10246,naufahu-tahi,0.5
227,291129016,10246,naufahu-tahi,0.8
228,291228003,10246,naufahu-tahi,0.0
229,291011021,10269,shane-andrus,2.0
230,291018027,10269,shane-andrus,3.0
231,291025027,10269,shane-andrus,1.0
232,290913026,10287,daniel-fells,0.9
233,290927014,10287,daniel-fells,15.5
234,291004025,10287,daniel-fells,1.7
235,291011014,10287,daniel-fells,2.5
236,291018030,10287,daniel-fells,1.1
237,291025014,10287,daniel-fells,0.7
238,291101008,10287,daniel-fells,9.6
239,291115014,10287,daniel-fells,5.1
240,291122014,10287,daniel-fells,0.0
241,291129014,10287,daniel-fells,2.5
242,291206003,10287,daniel-fells,0.0
243,291213010,10287,daniel-fells,3.2
244,291220014,10287,daniel-fells,0.5
245,290914013,10289,steve-gregory,0.0
246,290920024,10289,steve-gregory,0.0
247,290927024,10289,steve-gregory,0.0
248,291004023,10289,steve-gregory,0.0
249,291019024,10289,steve-gregory,0.0
250,291025012,10289,steve-gregory,3.0
251,291101024,10289,steve-gregory,1.0
252,291108019,10289,steve-gregory,0.0
253,291115024,10289,steve-gregory,0.0
254,291122007,10289,steve-gregory,0.0
255,291129024,10289,steve-gregory,0.0
256,291206005,10289,steve-gregory,0.0
257,291213006,10289,steve-gregory,0.0
258,291220024,10289,steve-gregory,0.0
259,291225010,10289,steve-gregory,0.0
260,290913026,10300,lance-laury,0.0
261,290927026,10300,lance-laury,0.0
262,291004011,10300,lance-laury,0.0
263,291011026,10300,lance-laury,0.0
264,291018026,10300,lance-laury,0.0
265,291101006,10300,lance-laury,0.0
266,291108026,10300,lance-laury,0.0
267,291115022,10300,lance-laury,0.0
268,291122016,10300,lance-laury,0.0
269,291129014,10300,lance-laury,0.0
270,291206026,10300,lance-laury,0.0
271,291213034,10300,lance-laury,0.0
272,291220026,10300,lance-laury,0.0
273,291018016,10307,brandon-mckinney,0.0
274,291129033,10307,brandon-mckinney,0.0
275,290920025,10327,micheal-spurlock,0.3
276,291227018,10327,micheal-spurlock,6.0
277,290913019,1033,phillip-daniels,0.0
278,290920028,1033,phillip-daniels,0.0
279,290927008,1033,phillip-daniels,0.0
280,291004028,1033,phillip-daniels,0.0
