plyr_id,name,position,team
15875,brandon-williams,RDE,bal
4468,terrell-suggs,LOLB,bal
14202,pernell-mcphee,LOLB,bal
11841,jameel-mcclain,LILB,bal
14519,josh-bynes,LILB,bal
5564,daryl-smith,RILB,bal
13851,albert-mcclellan,RILB,bal
9712,elvis-dumervil,ROLB,bal
14970,courtney-upshaw,ROLB,bal
12747,lardarius-webb,CB,bal
13963,jimmy-smith,CB,bal
10749,james-ihedigbo,SS,bal
15789,matt-elam,SS,bal
9593,michael-huff,FS,bal
15623,omar-brown,FS,bal
10611,corey-graham,CB,bal
14113,chykie-brown,CB,bal
11424,ahtyba-rubin,LDE,cle
14954,john-hughes,LDE,cle
13968,phillip-taylor,NT,cle
15508,ishmaa'ily-kitchen,NT,cle
12949,desmond-bryant,RDE,cle
15021,billy-winn,RDE,cle
12437,paul-kruger,LOLB,cle
11286,quentin-groves,LOLB,cle
9620,d'qwell-jackson,LILB,cle
15264,l.j.-fort,LILB,cle
14860,craig-robertson,RILB,cle
15014,tank-carder,RILB,cle
14036,jabaal-sheard,ROLB,cle
15805,barkevious-mingo,ROLB,cle
13249,joe-haden,CB,cle
15854,leon-mcfadden,CB,cle
13304,t.j.-ward,SS,cle
15359,johnson-bademosi,SS,cle
15235,tashaun-gipson,FS,cle
15938,jamoris-slaughter,FS,cle
14139,buster-skrine,CB,cle
12713,chris-owens,CB,cle
12442,ziggy-hood,LDE,pit
13493,al-woods,LDE,pit
12895,steve-mclendon,NT,pit
15639,hebron-fangupo,NT,pit
3743,brett-keisel,RDE,pit
13977,cameron-heyward,RDE,pit
10490,lamarr-woodley,LOLB,pit
14174,chris-carter,LOLB,pit
3656,larry-foote,LILB,pit
15934,vince-williams,LILB,pit
10459,lawrence-timmons,RILB,pit
13670,kion-wilson,RILB,pit
13306,jason-worilds,ROLB,pit
15799,jarvis-jones,ROLB,pit
4583,ike-taylor,CB,pit
10613,william-gay,CB,pit
4474,troy-polamalu,SS,pit
15992,shamarko-thomas,SS,pit
4301,ryan-clark,FS,pit
15213,robert-golden,FS,pit
14109,cortez-allen,CB,pit
14033,curtis-brown,CB,pit
13979,j.j.-watt,LDE,hou
15019,jared-crick,LDE,hou
13288,earl-mitchell,NT,hou
15955,chris-jones,NT,hou
13033,tim-jamison,RDE,hou
14014,terrell-mcclain,RDE,hou
13997,brooks-reed,LOLB,hou
16114,justin-tuggle,LOLB,hou
12453,brian-cushing,LILB,hou
9737,tim-dobbins,LILB,hou
11434,joe-mays,RILB,hou
13453,darryl-sharpton,RILB,hou
14936,whitney-mercilus,ROLB,hou
16556,willie-jefferson,ROLB,hou
13254,kareem-jackson,CB,hou
12690,brice-mccain,CB,hou
9628,danieal-manning,SS,hou
15612,eddie-pleasant,SS,hou
14122,shiloh-keo,FS,hou
15865,d.j.-swearinger,FS,hou
9610,johnathan-joseph,CB,hou
10587,brandon-harris,CB,hou
4524,cory-redding,LDE,ind
14185,lawrence-guy,LDE,ind
4604,aubrayo-franklin,NT,ind
15039,josh-chapman,NT,ind
12443,ricky-jean-francois,RDE,ind
12446,fili-moala,RDE,ind
11401,erik-walden,LOLB,ind
13258,pat-angerer,LILB,ind
13342,kavell-conner,LILB,ind
11533,jerrell-freeman,RILB,ind
14257,mario-harvey,RILB,ind
4596,robert-mathis,ROLB,ind
15815,bjoern-werner,ROLB,ind
12738,greg-toler,CB,ind
12423,darius-butler,CB,ind
9793,antoine-bethea,SS,ind
14415,joe-lefeged,SS,ind
10451,laron-landry,FS,ind
13541,sergio-brown,FS,ind
12424,vontae-davis,CB,ind
13797,cassius-vaughn,CB,ind
14310,cedric-thornton,LDE,phi
13366,clifton-geathers,LDE,phi
5629,isaac-sopoaga,NT,phi
15850,bennie-logan,NT,phi
14941,fletcher-cox,RDE,phi
14959,vinny-curry,RDE,phi
12449,connor-barwin,LOLB,phi
13239,brandon-graham,LOLB,phi
9619,demeco-ryans,LILB,phi
14181,casey-matthews,LILB,phi
14978,mychal-kendricks,RILB,phi
13337,jamar-chaney,RILB,phi
8560,trent-cole,ROLB,phi
13415,chris-mccoy,ROLB,phi
12652,bradley-fletcher,CB,phi
15057,brandon-boykin,CB,phi
13257,nate-allen,SS,phi
14609,david-sims,SS,phi
12527,patrick-chung,FS,phi
13340,kurt-coleman,FS,phi
