game_id,coach_id,team,is_home,year
291115023,18,cin,0,2009
291115024,44,sd,1,2009
291115024,23,phi,0,2009
291115028,25,wsh,1,2009
291115028,73,den,0,2009
291115029,13,car,1,2009
291115029,67,atl,0,2009
291116005,54,cle,1,2009
291116005,68,bal,0,2009
291119029,13,car,1,2009
291119029,65,mia,0,2009
291122003,38,chi,1,2009
291122003,23,phi,0,2009
291122006,85,dal,1,2009
291122006,25,wsh,0,2009
291122007,73,den,1,2009
291122007,44,sd,0,2009
291122008,71,det,1,2009
291122008,54,cle,0,2009
291122009,58,gb,1,2009
291122009,70,sf,0,2009
291122012,77,kc,1,2009
291122012,63,pit,0,2009
291122013,69,oak,1,2009
291122013,18,cin,0,2009
291122014,50,stl,1,2009
291122014,59,ari,0,2009
291122016,86,min,1,2009
291122016,83,sea,0,2009
291122017,2,ne,1,2009
291122017,72,nyj,0,2009
291122019,35,nyg,1,2009
291122019,67,atl,0,2009
291122027,75,tb,1,2009
291122027,42,no,0,2009
291122030,5,jac,1,2009
291122030,80,buf,0,2009
291122033,68,bal,1,2009
291122033,76,ind,0,2009
291123034,56,hou,1,2009
291123034,12,ten,0,2009
291126006,85,dal,1,2009
291126006,69,oak,0,2009
291126007,73,den,1,2009
291126007,35,nyg,0,2009
291126008,71,det,1,2009
291126008,58,gb,0,2009
291129001,67,atl,1,2009
291129001,75,tb,0,2009
291129002,80,buf,1,2009
291129002,65,mia,0,2009
291129004,18,cin,1,2009
291129004,54,cle,0,2009
291129010,12,ten,1,2009
291129010,59,ari,0,2009
291129014,50,stl,1,2009
291129014,83,sea,0,2009
291129016,86,min,1,2009
291129016,38,chi,0,2009
291129020,72,nyj,1,2009
291129020,13,car,0,2009
291129021,23,phi,1,2009
291129021,25,wsh,0,2009
291129024,44,sd,1,2009
291129024,77,kc,0,2009
291129025,70,sf,1,2009
291129025,5,jac,0,2009
291129033,68,bal,1,2009
291129033,63,pit,0,2009
291129034,56,hou,1,2009
291129034,76,ind,0,2009
291130018,42,no,1,2009
291130018,2,ne,0,2009
291203002,80,buf,1,2009
291203002,72,nyj,0,2009
291206001,67,atl,1,2009
291206001,23,phi,0,2009
291206003,38,chi,1,2009
291206003,50,stl,0,2009
291206004,18,cin,1,2009
291206004,71,det,0,2009
291206005,54,cle,1,2009
291206005,44,sd,0,2009
291206011,76,ind,1,2009
291206011,12,ten,0,2009
291206012,77,kc,1,2009
291206012,73,den,0,2009
291206015,65,mia,1,2009
291206015,2,ne,0,2009
291206019,35,nyg,1,2009
291206019,85,dal,0,2009
291206022,59,ari,1,2009
291206022,86,min,0,2009
291206023,63,pit,1,2009
291206023,69,oak,0,2009
291206026,83,sea,1,2009
291206026,70,sf,0,2009
291206028,25,wsh,1,2009
291206028,42,no,0,2009
291206029,13,car,1,2009
291206029,75,tb,0,2009
291206030,5,jac,1,2009
291206030,56,hou,0,2009
291207009,58,gb,1,2009
291207009,68,bal,0,2009
291210005,54,cle,1,2009
291210005,63,pit,0,2009
291213001,67,atl,1,2009
291213001,42,no,0,2009
291213003,38,chi,1,2009
291213003,58,gb,0,2009
291213006,85,dal,1,2009
291213006,44,sd,0,2009
