,plyr_id,name,position,is_starter
77,14895,ronnie-hillman,RB,1
78,15823,montee-ball,RB,0
79,10467,dwayne-bowe,WR,1
80,13207,dexter-mccluster,WR,0
81,9639,anthony-fasano,TE,1
82,15847,travis-kelce,TE,0
83,11249,branden-albert,LT,1
84,14990,jeff-allen,LG,1
85,14013,rodney-hudson,C,1
86,13260,jon-asamoah,RG,1
87,15790,eric-fisher,RT,1
88,11267,donnie-avery,WR,1
89,14947,a.j.-jenkins,WR,0
90,8416,alex-smith,QB,1
91,12471,chase-daniel,QB,0
92,14135,anthony-sherman,FB,1
93,11307,jamaal-charles,RB,1
94,15832,knile-davis,RB,0
95,14153,denarius-moore,WR,1
96,15896,brice-butler,WR,0
97,14102,david-ausberry,TE,1
98,13698,jeron-mastrud,TE,0
99,15871,menelik-watson,LT,1
100,15354,lucas-nix,LG,1
101,169,stefen-wisniewski,C,1
102,10161,mike-brisiel,RG,1
103,8466,khalif-barnes,RT,1
104,15391,rod-streater,WR,1
105,13363,jacoby-ford,WR,0
106,14851,terrelle-pryor,QB,1
107,11443,matt-flynn,QB,0
108,11717,marcel-reece,FB,1
109,11238,darren-mcfadden,RB,1
110,12503,rashad-jennings,RB,0
111,6016,malcom-floyd,WR,1
112,14027,vincent-brown,WR,0
113,5362,antonio-gates,TE,1
114,12550,john-phillips,TE,0
115,11464,king-dunlap,LT,1
116,11330,chad-rinehart,LG,1
117,5591,nick-hardwick,C,1
118,9773,jeromey-clary,RG,1
119,15792,d.j.-fluker,RT,1
120,11276,eddie-royal,WR,1
121,15818,keenan-allen,WR,0
122,5529,philip-rivers,QB,1
123,9667,charlie-whitehurst,QB,0
124,10580,le'ron-mcclain,FB,1
125,13204,ryan-mathews,RB,1
126,8417,ronnie-brown,RB,0
127,14032,torrey-smith,WR,1
128,1858,brandon-stokley,WR,0
129,13272,ed-dickson,TE,1
130,4482,dallas-clark,TE,0
131,3535,bryant-mckinnie,LT,1
132,14957,kelechi-osemele,LG,1
133,14999,gino-gradkowski,C,1
134,10530,marshal-yanda,RG,1
135,12621,michael-oher,RT,1
136,10517,jacoby-jones,WR,1
137,16581,marlon-brown,WR,0
138,11252,joe-flacco,QB,1
139,14163,tyrod-taylor,QB,0
140,6301,vonta-leach,FB,1
141,11289,ray-rice,RB,1
142,14891,bernard-pierce,RB,0
143,13983,a.j.-green,WR,1
144,12597,brandon-tate,WR,0
145,13228,jermaine-gresham,TE,1
146,15788,tyler-eifert,TE,0
147,9641,andrew-whitworth,LT,1
148,14178,clint-boling,LG,1
149,11136,kyle-cook,C,1
150,14931,kevin-zeitler,RG,1
151,12622,andre-smith,RT,1
152,14922,mohamed-sanu,WR,1
153,15072,marvin-jones,WR,0
154,14012,andy-dalton,QB,1
155,11394,josh-johnson,QB,0
156,14902,orson-charles,FB,1
157,11754,benjarvus-green-ellis,RB,1
158,15826,giovani-bernard,RB,0
159,11678,davone-bess,WR,1
160,15062,travis-benjamin,WR,0
161,14189,jordan-cameron,TE,1
162,11364,gary-barnidge,TE,0
163,10448,joe-thomas,LT,1
164,11299,john-greco,LG,1
165,12616,alex-mack,C,1
166,13283,shawn-lauvao,RG,1
167,14951,mitchell-schwartz,RT,1
168,14024,greg-little,WR,1
169,15197,josh-cooper,WR,0
170,14878,brandon-weeden,QB,1
171,8440,jason-campbell,QB,0
172,12517,chris-ogbonnaya,FB,1
173,14884,trent-richardson,RB,1
174,15501,bobby-rainey,RB,0
175,13295,emmanuel-sanders,WR,1
176,15873,markus-wheaton,WR,0
177,8444,heath-miller,TE,1
178,12506,david-johnson,TE,0
179,8133,mike-adams,LT,1
180,12883,ramon-foster,LG,1
181,15035,kelvin-beachum,C,1
182,14935,david-decastro,RG,1
183,13998,marcus-gilbert,RT,1
184,13934,antonio-brown,WR,1
185,5633,jerricho-cotchery,WR,0
186,5536,ben-roethlisberger,QB,1
187,9780,bruce-gradkowski,QB,0
188,14870,will-johnson,FB,1
189,12898,isaac-redman,RB,1
190,15825,le'veon-bell,RB,0
191,4461,andre-johnson,WR,1
192,14916,keshawn-martin,WR,0
193,9684,owen-daniels,TE,1
194,13371,garrett-graham,TE,0
195,11260,duane-brown,LT,1
196,4536,wade-smith,LG,1
197,8614,chris-myers,C,1
198,14962,brandon-brooks,RG,1
199,14197,derek-newton,RT,1
200,15795,deandre-hopkins,WR,1
201,14570,lestar-jean,WR,0
202,5615,matt-schaub,QB,1
203,14114,t.j.-yates,QB,0
204,5580,greg-b.-jones,FB,1
205,12497,arian-foster,RB,1
206,13210,ben-tate,RB,0
207,2578,reggie-wayne,WR,1
208,15360,griff-whalen,WR,0
209,14901,dwayne-allen,TE,1
210,14900,coby-fleener,TE,0
211,13970,anthony-castonzo,LT,1
212,11429,donald-thomas,LG,1
213,10504,samson-satele,C,1
214,11343,mike-mcglynn,RG,1
215,11251,gosder-cherilus,RT,1
216,12570,darrius-heyward-bey,WR,1
217,14924,t.y.-hilton,WR,0
218,14874,andrew-luck,QB,1
219,1575,matt-hasselbeck,QB,0
220,14104,stanley-havili,FB,1
221,10693,ahmad-bradshaw,RB,1
222,12489,donald-brown,RB,0
223,14184,cecil-shorts,WR,1
224,15448,mike-brown,WR,0
225,9614,marcedes-lewis,TE,1
226,14433,allen-reisner,TE,0
227,12620,eugene-monroe,LT,1
228,14042,will-rackley,LG,1
229,2191,brad-meester,C,1
230,10592,uche-nwaneri,RG,1
231,15796,luke-joeckel,RT,1
232,14907,justin-blackmon,WR,1
233,16022,ace-sanders,WR,0
234,13987,blaine-gabbert,QB,1
235,11291,chad-henne,QB,0
236,12850,will-ta'ufo'ou,FB,1
237,9646,maurice-jones-drew,RB,1
238,11467,justin-forsett,RB,0
239,9307,nate-washington,WR,1
240,14909,kendall-wright,WR,0
241,9761,delanie-walker,TE,1
242,11319,craig-stevens,TE,0
243,8455,michael-roos,LT,1
244,12614,andy-levitre,LG,1
245,11091,robert-turner,C,1
246,15814,chance-warmack,RG,1
247,8527,david-stewart,RT,1
248,12556,kenny-britt,WR,1
249,13219,damian-williams,WR,0
250,13969,jake-locker,QB,1
251,8664,ryan-fitzpatrick,QB,0
252,15130,collin-mooney,FB,1
253,11258,chris-johnson,RB,1
254,12500,shonn-greene,RB,0
255,13215,dez-bryant,WR,1
256,15878,terrance-williams,WR,0
257,4527,jason-witten,TE,1
258,14906,james-hanna,TE,0
259,13978,tyron-smith,LT,1
260,15276,ronald-leary,LG,1
261,15793,travis-frederick,C,1
262,11484,mackenzy-bernadeau,RG,1
263,10565,doug-free,RT,1
264,10147,miles-austin,WR,1
265,14100,dwayne-harris,WR,0
266,5209,tony-romo,QB,1
267,8520,kyle-orton,QB,0
268,14005,demarco-murray,RB,1
269,15369,lance-dunbar,RB,0
270,12586,hakeem-nicks,WR,1
271,14911,rueben-randle,WR,0
272,12705,brandon-myers,TE,1
273,12548,bear-pascoe,TE,0
274,12610,will-beatty,LT,1
275,9762,kevin-boothe,LG,1
276,8447,david-baas,C,1
