,game_id,plyr_id,name,is_starter
61,290913001,12485,pat-white,1
62,290913001,11237,matt-ryan,1
63,290913001,8417,ronnie-brown,1
64,290913001,1756,ricky-williams,1
65,290913001,10453,ted-ginn,1
66,290913001,5817,lousaka-polite,1
67,290913001,5679,michael-turner,1
68,290913001,9665,jerious-norwood,1
69,290913001,11678,davone-bess,1
70,290913001,11635,joey-haynos,1
71,290913001,9495,greg-camarillo,1
72,290913001,12568,brian-hartline,1
73,290913001,9639,anthony-fasano,1
74,290913001,1231,tony-gonzalez,1
75,290913001,8442,roddy-white,1
76,290913001,5554,michael-jenkins,1
77,290913001,4592,ovie-mughelli,1
78,290913001,10687,jason-snelling,1
79,290913001,3633,brian-williams,0
80,290913001,8473,jonathan-babineaux,0
81,290913001,1788,mike-peterson,0
82,290913001,5661,gibril-wilson,0
83,290913001,4671,yeremiah-bell,0
84,290913001,2570,will-allen,0
85,290913001,11266,phillip-merling,0
86,290913001,3617,akin-ayodele,0
87,290913001,8484,channing-crowder,0
88,290913001,1826,joey-porter,0
89,290913001,9287,john-denney,0
90,290913001,5730,nate-jones,0
91,290913001,1245,jason-taylor,0
92,290913001,12430,sean-smith,0
93,290913001,5596,randy-starks,0
94,290913001,10031,tony-mcdaniel,0
95,290913001,9771,tyrone-culver,0
96,290913001,12424,vontae-davis,0
97,290913001,1294,jason-ferguson,0
98,290913001,11438,lex-hilliard,0
99,290913001,11300,kendall-langford,0
100,290913001,11271,curtis-lofton,0
101,290913001,10553,stephen-nicholas,0
102,290913001,11388,kroy-biermann,0
103,290913001,2144,john-abraham,0
104,290913001,10913,brent-grimes,0
105,290913001,11332,thomas-decoud,0
106,290913001,10485,chris-houston,0
107,290913001,5668,erik-coleman,0
108,290913001,10770,eric-weems,0
109,290913001,9277,thomas-johnson,0
110,290913001,3625,coy-wire,0
111,290913001,12713,chris-owens,0
112,290913001,8542,chauncey-davis,0
113,290913001,12444,peria-jerry,0
114,290913001,9902,patrick-cobbs,0
115,290913001,2048,brian-finneran,0
116,290913001,11688,dan-carpenter,1
117,290913001,453,jason-elam,1
118,290913001,10668,brandon-fields,0
119,290913001,9263,michael-koenen,0
120,290913004,8520,kyle-orton,1
121,290913004,4459,carson-palmer,1
122,290913004,2670,correll-buckhalter,1
123,290913004,12516,knowshon-moreno,1
124,290913004,2597,lamont-jordan,1
125,290913004,11461,peyton-hillis,1
126,290913004,8419,cedric-benson,1
127,290913004,2584,chad-johnson,1
128,290913004,10496,brian-leonard,1
129,290913004,12669,kevin-huber,1
130,290913004,12724,bernard-scott,1
131,290913004,1858,brandon-stokley,1
132,290913004,3549,daniel-graham,1
133,290913004,9647,tony-scheffler,1
134,290913004,9705,brandon-marshall,1
135,290913004,3561,jabar-gaffney,1
136,290913004,11276,eddie-royal,1
137,290913004,11331,andre-caldwell,1
138,290913004,8497,chris-henry,1
139,290913004,10935,daniel-coats,1
140,290913004,2209,laveranues-coles,1
141,290913004,9286,j.p.-foschi,1
142,290913004,11572,tyler-polumbus,0
143,290913004,11609,wesley-woodyard,0
144,290913004,978,brian-dawkins,0
145,290913004,5542,d.j.-williams,0
146,290913004,3669,andra-davis,0
147,290913004,1758,champ-bailey,0
148,290913004,2751,renaldo-hill,0
149,290913004,4686,mario-haggan,0
150,290913004,12431,alphonso-smith,0
151,290913004,3596,andre'-goodman,0
152,290913004,9712,elvis-dumervil,0
153,290913004,10575,ryan-mcbean,0
154,290913004,8551,ronald-fields,0
155,290913004,4537,kenny-peterson,0
156,290913004,12618,darcel-mcbath,0
157,290913004,9312,darrell-reid,0
158,290913004,1453,vonnie-holliday,0
159,290913004,8207,marcus-thomas,0
160,290913004,12638,david-bruton,0
161,290913004,3536,roy-williams,0
162,290913004,12455,rey-maualuga,0
163,290913004,11243,keith-rivers,0
164,290913004,5582,antwan-odom,0
165,290913004,11311,pat-sims,0
166,290913004,2308,dhani-jones,0
167,290913004,4542,chris-crocker,0
168,290913004,9728,brandon-johnson,0
169,290913004,5642,robert-geathers,0
170,290913004,8647,jonathan-fanene,0
171,290913004,12436,michael-johnson,0
172,290913004,5572,tank-johnson,0
173,290913004,10462,leon-hall,0
174,290913004,2341,brad-st.-louis,0
175,290913004,9610,johnathan-joseph,0
176,290913004,10696,chinedum-ndukwe,0
177,290913004,9998,rashad-jeanty,0
178,290913004,12562,quan-cosby,0
179,290913004,11122,matt-prater,1
180,290913004,3504,shayne-graham,1
181,290913004,11555,brett-kern,0
182,290913005,112,brett-favre,1
183,290913005,9650,tarvaris-jackson,1
184,290913005,10466,brady-quinn,1
185,290913005,10452,adrian-peterson,1
186,290913005,12569,percy-harvin,1
187,290913005,3784,chester-taylor,1
188,290913005,5745,jeff-dugan,1
189,290913005,10246,naufahu-tahi,1
190,290913005,2136,jamal-lewis,1
191,290913005,9270,josh-cribbs,1
192,290913005,12493,james-davis,1
193,290913005,4549,visanthe-shiancoe,1
194,290913005,10488,sidney-rice,1
195,290913005,3688,robert-royal,1
196,290913005,4939,mike-furrey,1
197,290913005,12581,mohamed-massaquoi,1
198,290913005,1822,steve-heiden,1
199,290913005,8418,braylon-edwards,1
200,290913005,9766,lawrence-vickers,1
201,290913005,4467,kevin-williams,0
202,290913005,9634,cedric-griffin,0
203,290913005,4498,e.j.-henderson,0
204,290913005,3599,ben-leber,0
205,290913005,9713,ray-edwards,0
206,290913005,1775,antoine-winfield,0
207,290913005,9603,chad-greenway,0
208,290913005,9359,heath-farwell,0
209,290913005,4470,jimmy-kennedy,0
210,290913005,5581,madieu-williams,0
211,290913005,11277,tyrell-johnson,0
212,290913005,8490,karl-paymah,0
213,290913005,12604,kenny-onatolu,0
214,290913005,11910,husain-abdullah,0
215,290913005,5920,benny-sapp,0
216,290913005,1356,pat-williams,0
217,290913005,12451,jasper-brinkley,0
218,290913005,5651,jared-allen,0
219,290913005,9620,d'qwell-jackson,0
220,290913005,10174,abram-elam,0
221,290913005,1899,eric-barton,0
